main_title	sub_title	rating1	rating2
88th Academy Awards	68th Primetime Emmy Awards	0	1
Tom Cruise	List of awards and nominations received by Tom Cruise	3	3
Mark Zuckerberg	Facebook	1	1
Harrison Ford	Harrison Ford filmography	3	3
Ryan Reynolds	List of awards and nominations received by Ryan Reynolds	3	3
One-Punch Man	List of One-Punch Man characters	3	3
Marco Rubio	United States Senate election in Florida, 2010	1	1
Wiki	Mass collaboration	1	2
Avengers: Age of Ultron	Avengers: Age of Ultron (soundtrack)	3	3
Selena Gomez	Selena Gomez discography	3	3
Arnold Schwarzenegger	List of awards and nominations received by Arnold Schwarzenegger	3	3
Australia	Government of Australia	3	3
Everest (2015 film)	List of media related to Mount Everest	1	2
Salman Khan	List of people from Madhya Pradesh	1	1
Fargo (TV series)	List of Fargo episodes	3	3
Interstellar (film)	List of accolades received by Interstellar	3	3
November 2015 Paris attacks	Reactions to the November 2015 Paris attacks	3	3
Star Wars (film)	Star Wars (comics)	1	1
Creed (film)	Creed (soundtrack)	3	3
Ariana Grande	List of Billboard Social 50 number-one artists	1	1
Frank Sinatra	List of awards and nominations received by Frank Sinatra	3	3
Charles Manson	Charles Manson discography	3	3
Jennifer Aniston	List of awards and nominations received by Jennifer Aniston	3	3
Halloween	St. John's Eve	0	1
Ronald Reagan	Cold War	1	1
Hillary Clinton	List of books by or about Hillary Rodham Clinton	3	3
List of James Bond films	Die Another Day	3	3
Angelina Jolie	Angelina Jolie filmography	3	3
China	Sport in the People's Republic of China	3	3
Lady Gaga	List of Billboard Social 50 number-one artists	1	1
Internet Movie Database	Internet Movie Firearms Database	0	1
Bajrangi Bhaijaan	List of highest-grossing Bollywood films	1	1
Russia	Russian culture	3	3
Abraham Lincoln	Memorials to Abraham Lincoln	3	3
25 (Adele album)	List of fastest-selling albums	1	1
One Direction	List of artists who reached number one on the UK Singles Chart	1	1
Bill Gates	History of Microsoft	1	1
Elvis Presley	Honorific nicknames in popular music	1	1
Jurassic World	List of cloned animals in Jurassic Park	0	3
The Undertaker	Hell in a Cell	0	2
Harry Potter	Harry Potter in translation	3	2
Sia Furler	List of awards and nominations received by Sia Furler	3	3
Germany	Immigration to Germany	3	3
Scarlett Johansson	List of awards and nominations received by Scarlett Johansson	3	3
Rihanna	Artists with the most number-ones on the U.S. dance chart	1	1
O. J. Simpson murder case	If I Did It	2	1
Mark Hamill	Mark Hamill filmography	3	3
Priyanka Chopra	List of awards and nominations received by Priyanka Chopra	3	3
Singapore	Religion in Singapore	3	3
Heroes Reborn (miniseries)	List of Heroes Reborn characters	3	3
Periodic table	Alternative periodic tables	3	1
John F. Kennedy	McNamara Taylor mission	1	1
New York City	Timeline of New York City history	3	3
Bruce Lee	Bruce Lee filmography	3	3
Once Upon a Time (TV series)	List of Once Upon a Time creatures and races	3	3
Heath Ledger	List of awards and nominations received by Heath Ledger	3	3
Shah Rukh Khan	Shah Rukh Khan in the media	3	3
Demi Lovato	List of songs recorded by Demi Lovato	3	3
Japan	Index of Japan-related articles	3	2
Sherlock (TV series)	List of awards and nominations received by Sherlock	3	3
Mount Everest	1953 British Mount Everest expedition	3	2
How to Get Away with Murder	List of How to Get Away with Murder episodes	3	3
Will Smith	List of awards and nominations received by Will Smith	3	3
Muhammad Ali	Conscientious objector	0	1
Vietnam War	1940-1946 in the Vietnam War	3	3
Suits (TV series)	List of Suits episodes	3	3
Downton Abbey	List of Downton Abbey episodes	3	3
Royal Rumble (2016)	List of WWE Network Events	1	1
Ant-Man (film)	Ant-Man (soundtrack)	3	3
Black hole	Gravitational collapse	1	2
Quentin Tarantino	Quentin Tarantino Film Festival	3	3
Syria	Tourism in Syria	3	3
William Shakespeare	Shakespeare's sonnets	3	3
George W. Bush	War on Terror	1	1
The Danish Girl (film)	List of transgender characters in film and television	1	1
Vladimir Putin	List of presidential trips made by Vladimir Putin	3	3
Pretty Little Liars (TV series)	List of Pretty Little Liars episodes	3	3
Amy Winehouse	Amy (2015 film)	2	1
Macaulay Culkin	The Pizza Underground	1	1
Marilyn Monroe	Personal life of Marilyn Monroe	3	3
Breaking Bad	Breaking Bad (season 2)	3	3
Bill Clinton	Bill Clinton Supreme Court candidates	3	2
Star Wars sequel trilogy	Rogue One: A Star Wars Story	0	1
Tom Hanks	List of awards and nominations received by Tom Hanks	3	3
Orange Is the New Black	Incarceration in the United States	0	1
Lemmy	Motörhead	1	3
London	Etymology of London	3	3
Mila Kunis	Mila Kunis filmography	3	3
Joy Mangano	List of inventors	0	1
The Hunger Games	Catching Fire	2	3
Bridge of Spies (film)	Bridge of Spies (book)	0	1
Mastani	Maratha Empire	0	3
Zayn Malik	One Direction discography	1	1
Sicario (2015 film)	Mexican Drug War	0	1
Friends	The Last One (Friends)	2	3
Freddie Mercury	Freddie Mercury discography	3	3
RMS Titanic	Replica Titanic	3	2
Seven deadly sins	Enneagram of Personality	1	0
Doctor Who	List of awards and nominations received by Doctor Who	3	3
Matt Damon	Matt Damon filmography	3	3
Mark Wahlberg	Marky Mark and the Funky Bunch	2	2
List of UFC events	List of current UFC fighters	1	2
France	Geography of France	3	3
American Civil War	Emancipation Proclamation	2	1
Brad Pitt	List of awards and nominations received by Brad Pitt	3	3
Illuminati	Illuminati in popular culture	3	3
Manchester United F.C.	History of Manchester United F.C. (1969–1986)	3	3
The Man in the High Castle	Simulated reality in fiction	1	1
Sexual intercourse	Coitus reservatus	3	2
Robin Williams	List of actors with two or more Academy Award nominations in acting categories	1	1
Iman (model)	Mononymous person	1	1
Atomic bombings of Hiroshima and Nagasaki	Manhattan Project	2	2
