main_article	sub_article	rating1	rating2
Pseudonym (band)	Rock music of West Bengal	1	0
Median nail dystrophy	Nail (anatomy)	0	0
Jack Cooper (Australian rules footballer)	List of Victorian Football League players who died in active service	1	0
Salome (disciple)	Holy Kinship	0	0
List of Kannada films of 1979	Kannada films of 1978	0	0
Edward Pigot	List of Roman Catholic scientist-clerics	1	0
Christmas with the Dead (short story)	Christmas with the Dead (film)	0	1
300th Field Artillery Regiment	24th Cavalry Division (United States)	0	0
Tom Kendall	List of Victoria first-class cricketers	1	0
UNIX System Services	UTS (Mainframe UNIX)	0	0
Gendün Chöphel	Tibet Improvement Party	0	0
List of ambassadors of Sweden to the United Kingdom	Diplomatic missions of Sweden	0	0
Psyco	Cython	0	0
Swimming at the 2014 Asian Games – Men's 200 metre breaststroke	Swimming at the 2014 Asian Games	0	0
Matilda House	Singapore national rugby union team	0	0
Uphall Station	Uphall railway station	2	3
La Roque-sur-Cèze	Communes of the Gard department	1	0
1996 OFC Nations Cup	1996 OFC Nations Cup Final	2	3
In the Sea of Sterile Mountains	A White Man's Province	0	0
Adel Noori	Combatant Status Review Tribunal	1	1
Karteres	List of settlements in the Thessaloniki regional unit	1	0
Stephen Mills	Ballet Austin	1	1
Musée Hébert	List of museums in Paris	1	0
Johnny Geoghegan	Families in the Oireachtas	0	0
Feugarolles	Communes of the Lot-et-Garonne department	1	0
Minareliçavuş Spor Tesisleri	List of football stadiums in Turkey	1	0
Cookie cutter	Cookie decorating	0	0
Royal Fleet Auxiliary	List of ships of Serco Marine Services	0	0
Haldimand County	List of townships in Ontario	0	0
Red Redemption	Fate of the World	0	1
